feature_ID,feature name,feature description,meta_feature_id,collection_id,collection URL,collection numbers
51,Are there definite or specific articles?: 1 (yes),"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position. Formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers.
Procedure

    Code 1 if there is a conventionalised way of marking definiteness or specificity without marking spatial location, and if there is evidence that the marker in question is different in form from the spatial deictic demonstratives (e.g. ‘the’ is different from ‘that’).

    If no such marker is given, write ‘Not mentioned’ in the comment and code 0 if other demonstratives have been covered, otherwise code ‘?’.",33,4,http://grambank.clld.org/parameters/GB020,20-1
52,Definite article: Definite affix,,35,3,http://wals.info/feature/37A,37A-3
53,Do indefinite nominals commonly have indefinite articles?- 1 (yes),"In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1). Indefinite articles can be homophonous with demonstratives, the numeral 'one' or classifiers.
Procedure

    Code 1 if indefinite NPs cannot occur without an indefinite/non-specific article.
    Ignore personal names.
    If there is an example of an indefinite NP occurring without an article, then give the page reference and code 0.
    If no such marker is given, write ‘Not mentioned’ in the comment and code 0 if other demonstratives have been covered.",36,4,http://grambank.clld.org/parameters/GB021,21-1
54,Are there prenominal articles?,,37,4,http://grambank.clld.org/parameters/GB022,22-1
55,Are there postnominal articles?,,38,4,http://grambank.clld.org/parameters/GB023,23-1
56,Can adnominal property words occur discontinuously?,"This means that a restrictively interpreted adjective is separated from the noun by some element that is not part of the nominal. For example, can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent (i.e. the ""Australian type""). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"").",39,4,http://grambank.clld.org/parameters/GB026,26-1
57,Marking of patient noun phrases: No marking of patient NPs,,40,1,http://apics-online.info/parameters/57,57-1
58,Marking of patient noun phrases: Only definite patient NPs are marked,,42,1,http://apics-online.info/parameters/57,57-2
59,Marking of patient noun phrases: Only animate patient NPs are marked,,43,1,http://apics-online.info/parameters/57,57-3
60,Marking of patient noun phrases: Only definite and animate patient NPs are marked,,44,1,http://apics-online.info/parameters/57,57-4
61,Marking of patient noun phrases: All patient NPs are marked,,41,1,http://apics-online.info/parameters/57,57-5
62,Standard negation is a particle that precedes the verb,"The feature ""is set to yes if the negation marker has the following characteristics

• It precedes the verb it negates (precedes to be understood broadly not as 'immediately' precedes).
• It appears as a free form for the negation of a simple declarative clause.
• It does not admit any morphological marking typically associated with verbs in the language.""",45,5,http://sswl.railsplayground.net/browse/properties/482,Neg01
63,Standard negation is a particle that follows the verb,"The feature ""is set to ""Yes"" if the negation marker has the following characteristics:

• It follows the verb or finite auxiliary. (""follows"" to be understood broadly, not as ""immediately"" follows)
• It appears as a free form for the negation of a simple declarative clause.
• It does not admit of any morphological marking typically associated with verbs in the language. .""",46,5,http://sswl.railsplayground.net/browse/properties/483,Neg02
64,Standard negation is prefix,,48,5,http://sswl.railsplayground.net/browse/properties/476,Neg03
65,Standard negation is suffix,,47,5,http://sswl.railsplayground.net/browse/properties/477,Neg03
66,Is there a distinction between inclusive and exclusive for personal pronouns? – no,"SAILS gives no information on what kinds of ""personal pronouns"" are intended, so it is assumed here that the feature is about independent personal pronouns.",1,2,http://sails.clld.org/parameters/ICS9,ICS9-0
67,Productive NN compounding,Noun compounds created from two noun phrases are common and systematically produced.,49,6,https://huntergatherer.la.utexas.edu/grammar/feature/22,22
68,Is the case marking obligatory on the adjective? – 1,,50,7,https://diacl.ht.lu.se/TypoVariant/Details/263,CASE-ADJ
69,Is the case marking realized on the article? – 1,,51,7,https://diacl.ht.lu.se/TypoVariant/Details/264,CASE-ART
70,Is the case marking obligatorily realized on the noun?  – 1,,52,7,https://diacl.ht.lu.se/TypoVariant/Details/262,CASE-ADJ
71,Can standard negation be marked clause-finally?,"This feature refers to Standard Negation (SN), i.e. the construction that marks negation of dynamic verbal predicates in declarative mood (and possible more). This includes suffixes on verb-final clauses, but prefixes on clause-final verbs do not count as clause-final negation. Do not include elliptical constructions of the kind ""'Pete didn't"". If the negator consists of two obligatory elements and only one is clause-final, this is sufficient to count as clause-final negation.",54,4,http://grambank.clld.org/parameters/GB137,137
72,Can standard negation be marked clause-initially?,"This feature refers to Standard Negation (SN), i.e. the construction that marks negation of dynamic verbal predicates in declarative mood (and possible more). This includes prefixes on verb-initial clauses, but suffixes on clause-initial verbs do not count as clause-initial negation. Do not include elliptical constructions of the kind 'Not Mary'. If the negator consists of two obligatory elements and only one is clause-initial, this is sufficient to count as clause-initial negation.",55,4,http://grambank.clld.org/parameters/GB137,GB137
73,no gender distinction in independent personal pronouns,,56,3,http://wals.info/feature/44A,44A-6
74,Person syncretism in independent personal pronouns: No person syncretism,"In most languages, there are distinct forms for the three persons in both singular and plural (and in the dual as well, if there is one), e.g. French moi, toi, lui/elle, nous, vous, eux/elles. But in some languages, there is person syncretism, i.e. there is a form in the paradigm of independent personal pronouns that serves for more than one person. For instance, some languages have the same form in the 1st and 2nd person plural (e.g. Haitian Creole nou), and some languages have the same form in the 2nd and 3rd person plural (e.g. Seychelles Creole zot). Note that we are not concerned with pure number syncretism here (e.g. English you for 2sg/2pl).",59,1,http://apics-online.info/parameters/16,16-1
75,Person syncretism in independent personal pronouns: Syncretism between 1st and 2nd person,"In most languages, there are distinct forms for the three persons in both singular and plural (and in the dual as well, if there is one), e.g. French moi, toi, lui/elle, nous, vous, eux/elles. But in some languages, there is person syncretism, i.e. there is a form in the paradigm of independent personal pronouns that serves for more than one person. For instance, some languages have the same form in the 1st and 2nd person plural (e.g. Haitian Creole nou), and some languages have the same form in the 2nd and 3rd person plural (e.g. Seychelles Creole zot). Note that we are not concerned with pure number syncretism here (e.g. English you for 2sg/2pl).",57,1,http://apics-online.info/parameters/16,16-2
76,Person syncretism in independent personal pronouns: Syncretism between 2nd and 3rd person,"In most languages, there are distinct forms for the three persons in both singular and plural (and in the dual as well, if there is one), e.g. French moi, toi, lui/elle, nous, vous, eux/elles. But in some languages, there is person syncretism, i.e. there is a form in the paradigm of independent personal pronouns that serves for more than one person. For instance, some languages have the same form in the 1st and 2nd person plural (e.g. Haitian Creole nou), and some languages have the same form in the 2nd and 3rd person plural (e.g. Seychelles Creole zot). Note that we are not concerned with pure number syncretism here (e.g. English you for 2sg/2pl).",58,1,http://apics-online.info/parameters/16,16-3
77,Special dependent person forms for subject and object: No dependent person forms,,60,1,,17-1
78,Special dependent person forms for subject and object: Only dependent subject forms,,62,1,,17-2
79,Special dependent person forms for subject and object: Only dependent object forms,,63,1,,17-3
80,Special dependent person forms for subject and object: Dependent subject and object forms,,61,1,,17-4
81,Politeness distinctions in second-person pronouns: No pronominal politeness distinction,,64,1,,18-1
82,Politeness distinctions in second-person pronouns: Binary pronominal politeness distinction,,65,1,,18-2
83,Politeness distinctions in second-person pronouns: Multiple pronominal politeness distinction,,66,1,,18-3
84,Politeness distinctions in second-person pronouns: Titles used as second person forms,,67,1,,18-4
85,Interrogative pronouns: All simple words,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word.

Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",68,1,http://apics-online.info/parameters/19,19-1
86,Interrogative pronouns: One compound expression,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word.

Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",69,1,http://apics-online.info/parameters/19,19-2
87,Interrogative pronouns: Two compound expressions,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word.

Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",70,1,http://apics-online.info/parameters/19,19-3
88,Interrogative pronouns: Three compound expressions,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word.

Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",71,1,http://apics-online.info/parameters/19,19-4
89,Interrogative pronouns: Four compound expressions,"Here we look at the four interrogative pronouns ‘who’, ‘where’, ‘when’, and ‘how’ and ask whether they are expressed as simple, monomorphemic words as in the European lexifiers, or as compound expressions consisting of a generic noun and an adnominal interrogative word.

Compound interrogatives translate literally as 'which person', 'what place', 'what hour', 'what manner' or similar. From the first through the last value, languages show an increasing amount of compound expressions, and thus an increasing degree of distance from the European lexifiers.",72,1,http://apics-online.info/parameters/19,19-5
90,Pronoun conjunction: Singular pronoun overtly conjoined with other conjunct,,73,1,apics-online.info/parameters/20,20-1
91,Pronoun conjunction: Inclusory pronoun juxtaposed with subset NP,,74,1,apics-online.info/parameters/20,20-2
92,Pronoun conjunction: Inclusory pronoun plus marker plus subset NP,,75,1,,20-3
93,Pronoun conjunction: Inclusory pronoun plus numeral plus subset NP,,76,1,apics-online.info/parameters/20,20-4
94,Pronoun conjunction: Singular pronoun juxtaposed with other conjunct,,77,1,apics-online.info/parameters/20,20-5
96,Is there an instrumental applicative marker on the verb (including indexing)? Yes,"This question concerns a bound verbal marker that signals that the verb has an instrumental argument. The marker could be analysed in the language-specific case as voice, agreement or a bound pronoun. The marker doesn't have to index the instrument.",78,4,http://grambank.clld.org/parameters/GB104,104-1
97,Is there an instrumental applicative marker on the verb (including indexing)? NO,"This question concerns a bound verbal marker that signals that the verb has an instrumental argument. The marker could be analysed in the language-specific case as voice, agreement or a bound pronoun. The marker doesn't have to index the instrument.",79,4,http://grambank.clld.org/parameters/GB104,104-0
98,Can the recipient in a ditransitive construction be marked like the monotransitive patient? Yes (1),,80,4,http://grambank.clld.org/parameters/GB105,105-1
99,Can the recipient in a ditransitive construction be marked like the monotransitive patient? NO (2),,81,4,http://grambank.clld.org/parameters/GB105,105-2
100,Ditransitive Constructions: The Verb 'Give': Indirect-object construction,,81,3,http://wals.info/feature/105A,105A-1
101,Ditransitive Constructions: The Verb 'Give': Double-object construction,,,3,http://wals.info/feature/105A,105A-2
102,Ditransitive Constructions: The Verb 'Give': Secondary-object construction,,,3,http://wals.info/feature/105A,105A-3
103,"Can standard negation be marked by an affix, clitic or modification of the verb? Yes (1)",,82,4,,107-1
104,"Can standard negation be marked by an affix, clitic or modification of the verb? NO (0)",,83,4,,107-0
105,Is there directional or locative morphological marking on verbs? Yes (1),,84,4,,108-1
106,Is there directional or locative morphological marking on verbs? NO (0),,85,4,,108-0
107,Is there verb suppletion for participant number? Yes (1),,86,4,,109-1
108,Is there verb suppletion for participant number? NO (0),,87,4,,109-0
109,Is there a copula for predicate nominals? Yes (1),,88,4,,117-1
110,Is there a copula for predicate nominals? NO (0),,16,4,,117-0
111,Is there verb suppletion for tense or aspect? Yes (1),,90,4,,110-1
112,Is there verb suppletion for tense or aspect? NO (1),,91,4,,110-0
113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones? Yes (1),,92,4,,113-1
114,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones? NO (0),,93,4,,113-0
115,Is there a phonologically bound reflexive marker on the verb? Yes (1),,94,4,,GB114-1
116,Is there a phonologically bound reflexive marker on the verb? NO (0),,95,4,,GB114-0
117,Is there a phonologically bound reciprocal marker on the verb? Yes (1),,,4,,GB115-1
118,Is there a phonologically bound reciprocal marker on the verb? NO (0),,,4,,GB115-0
119,Are there serial verb constructions? Yes (1),,98,4,,GB118-1
120,Are there serial verb constructions? NO (0),,99,4,,GB118-0
121,The dominant constituent order in an intransitive clause is: SV,,100,2,http://sails.clld.org/parameters/ARGEX1-1,ARGEX1-1-2
122,The dominant constituent order in an intransitive clause is: VS,,101,2,http://sails.clld.org/parameters/ARGEX1-1,ARGEX1-1-3
123,The dominant constituent order in an intransitive clause is: non,-,102,2,http://sails.clld.org/parameters/ARGEX1-1,ARGEX1-1-4
124,The dominant constituent order in a transitive clause is: APV,,104,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-2
125,The dominant constituent order in a transitive clause is: AVP,,103,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-3
126,The dominant constituent order in a transitive clause is: VPA,,106,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-4
127,The dominant constituent order in a transitive clause is: VAP,,105,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-5
128,The dominant constituent order in a transitive clause is: PVA,,108,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-6
129,The dominant constituent order in a transitive clause is: PAV,,109,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-7
130,The dominant constituent order in a transitive clause is: none,,110,2,http://sails.clld.org/parameters/ARGEX1-2,ARGEX1-2-8
131,"Order of Subject, Object and Verb: SOV",,104,3,http://wals.info/feature/81A,81A-1
132,"Order of Subject, Object and Verb: SVO",,103,3,http://wals.info/feature/81A,81A-2
133,"Order of Subject, Object and Verb: VSO",,105,3,http://wals.info/feature/81A,81A-3
134,"Order of Subject, Object and Verb: VOS",,106,3,http://wals.info/feature/81A,81A-4
135,"Order of Subject, Object and Verb: OVS",,108,3,http://wals.info/feature/81A,81A-5
136,"Order of Subject, Object and Verb: OSV",,109,3,http://wals.info/feature/81A,81A-6
137,"Order of Subject, Object and Verb: No dominant order",,110,3,http://wals.info/feature/81A,81A-7
138,Occurrence of nominal plural markers: No plural marking,,111,1,http://apics-online.info/parameters/22,22-1
139,Occurrence of nominal plural markers: Variable plural marking of human nouns,,114,1,http://apics-online.info/parameters/22,22-2
140,Occurrence of nominal plural markers: Variable plural marking of human or inanimate nouns,,113,1,http://apics-online.info/parameters/22,22-3
141,Occurrence of nominal plural markers: Invariant plural marking,,112,1,http://apics-online.info/parameters/22,22-4
