feature_ID,feature name,feature description,meta_feature_id,collection_id,collection URL,collection numbers
62,Standard negation is a particle that precedes the verb,"The feature ""is set to yes if the negation marker has the following characteristics

- It precedes the verb it negates (precedes to be understood broadly not as 'immediately' precedes).
- It appears as a free form for the negation of a simple declarative clause.
- It does not admit any morphological marking typically associated with verbs in the language.""",45,5,http://sswl.railsplayground.net/browse/properties/482,Neg01
63,Standard negation is a particle that follows the verb,"The feature ""is set to ""Yes"" if the negation marker has the following characteristics:

- It follows the verb or finite auxiliary. (""follows"" to be understood broadly, not as ""immediately"" follows)
- It appears as a free form for the negation of a simple declarative clause.
- It does not admit of any morphological marking typically associated with verbs in the language. .""",46,5,http://sswl.railsplayground.net/browse/properties/483,Neg02
64,Standard negation is prefix,,48,5,http://sswl.railsplayground.net/browse/properties/476,Neg03
65,Standard negation is suffix,,47,5,http://sswl.railsplayground.net/browse/properties/477,Neg03
66,Is there a distinction between inclusive and exclusive for personal pronouns? – no,"SAILS gives no information on what kinds of ""personal pronouns"" are intended, so it is assumed here that the feature is about independent personal pronouns.",1,2,http://sails.clld.org/parameters/ICS9,ICS9-0
67,Productive NN compounding,Noun compounds created from two noun phrases are common and systematically produced.,49,6,https://huntergatherer.la.utexas.edu/grammar/feature/22,22
68,Is the case marking obligatory on the adjective? – 1,,50,7,https://diacl.ht.lu.se/TypoVariant/Details/263,CASE-ADJ 
69,Is the case marking realized on the article? – 1,,51,7,https://diacl.ht.lu.se/TypoVariant/Details/264,CASE-ART 
70,Is the case marking obligatorily realized on the noun?  – 1,,52,7,https://diacl.ht.lu.se/TypoVariant/Details/262,CASE-ADJ 
71,Can standard negation be marked clause-finally?,"This feature refers to Standard Negation (SN), i.e. the construction that marks negation of dynamic verbal predicates in declarative mood (and possible more). This includes suffixes on verb-final clauses, but prefixes on clause-final verbs do not count as clause-final negation. Do not include elliptical constructions of the kind ""'Pete didn't"". If the negator consists of two obligatory elements and only one is clause-final, this is sufficient to count as clause-final negation.",54,4,http://grambank.clld.org/parameters/GB137,GB137
72,Can standard negation be marked clause-initially?,"This feature refers to Standard Negation (SN), i.e. the construction that marks negation of dynamic verbal predicates in declarative mood (and possible more). This includes prefixes on verb-initial clauses, but suffixes on clause-initial verbs do not count as clause-initial negation. Do not include elliptical constructions of the kind 'Not Mary'. If the negator consists of two obligatory elements and only one is clause-initial, this is sufficient to count as clause-initial negation.",55,4,http://grambank.clld.org/parameters/GB137,GB137
